number,texture groups that occur together
201,"Fine sandy loam, Gravelly loam, Silt loam, Silty clay loam"
202,"Fine sandy loam, Gravelly loamy sand, Gravelly sandy loam"
203,"Fine sandy loam, Gravelly loamy sand, Loamy coarse sand, Loamy fine sand, Sandy loam"
204,"Fine sandy loam, Gravelly loamy sand, Loamy fine sand, Sandy loam, Very gravelly loamy coarse sand"
205,"Fine sandy loam, Gravelly loamy sand, Loamy fine sand, Very gravelly sandy loam"
206,"Fine sandy loam, Gravelly sandy loam"
207,"Fine sandy loam, Gravelly sandy loam, Gravelly silt loam, Sandy loam, Silt loam"
208,"Fine sandy loam, Gravelly sandy loam, Gravelly silt loam, Sandy loam, Silt loam, Very gravelly sandy loam, Very gravelly silt loam"
209,"Fine sandy loam, Gravelly sandy loam, Gravelly very fine sandy loam"
210,"Fine sandy loam, Gravelly sandy loam, Gravelly very fine sandy loam, Loam"
211,"Fine sandy loam, Gravelly sandy loam, Loam"
212,"Fine sandy loam, Gravelly sandy loam, Loam, Sandy loam, Silt loam"
213,"Fine sandy loam, Gravelly sandy loam, Loam, Silt loam"
214,"Fine sandy loam, Gravelly sandy loam, Loam, Very fine sandy loam"
215,"Fine sandy loam, Gravelly sandy loam, Loamy coarse sand, Sandy loam"
216,"Fine sandy loam, Gravelly sandy loam, Loamy sand"
217,"Fine sandy loam, Gravelly sandy loam, Loamy sand, Sandy loam"
218,"Fine sandy loam, Gravelly sandy loam, Loamy sand, Very stony loamy sand"
219,"Fine sandy loam, Gravelly sandy loam, Sandy loam"
220,"Fine sandy loam, Gravelly sandy loam, Sandy loam, Very stony loamy sand"
221,"Fine sandy loam, Gravelly sandy loam, Silt loam"
222,"Fine sandy loam, Gravelly sandy loam, Very gravelly coarse sandy loam"
223,"Fine sandy loam, Gravelly sandy loam, Very gravelly fine sandy loam"
224,"Fine sandy loam, Gravelly silt loam, Loam"
225,"Fine sandy loam, Gravelly silt loam, Loam, Silt loam"
226,"Fine sandy loam, Gravelly silt loam, Silt loam"
227,"Fine sandy loam, Gravelly silt loam, Silty clay loam"
228,"Fine sandy loam, Loam"
229,"Fine sandy loam, Loam, Loamy sand, Sandy loam, Very fine sandy loam, Very gravelly fine sandy loam"
230,"Fine sandy loam, Loam, Sandy loam"
231,"Fine sandy loam, Loam, Sandy loam, Silt loam"
232,"Fine sandy loam, Loam, Sandy loam, Silt loam, Very gravelly fine sandy loam"
233,"Fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
234,"Fine sandy loam, Loam, Sandy loam, Very fine sandy loam, Very gravelly fine sandy loam"
235,"Fine sandy loam, Loam, Sandy loam, Very fine sandy loam, Very gravelly loam"
236,"Fine sandy loam, Loam, Silt loam"
237,"Fine sandy loam, Loam, Silt loam, Very fine sandy loam"
238,"Fine sandy loam, Loam, Very gravelly sandy loam"
239,"Fine sandy loam, Loamy coarse sand, Sandy loam, Very gravelly loamy sand"
240,"Fine sandy loam, Loamy fine sand, Loamy sand"
241,"Fine sandy loam, Loamy fine sand, Mucky sand"
242,"Fine sandy loam, Loamy fine sand, Sandy loam"
243,"Fine sandy loam, Loamy sand, Sandy loam"
244,"Fine sandy loam, Loamy very fine sand, Silt loam"
245,"Fine sandy loam, Mucky loamy fine sand, Mucky sand"
246,"Fine sandy loam, Mucky silt loam, Silt loam"
247,"Fine sandy loam, Sandy loam"
248,"Fine sandy loam, Sandy loam, Silt loam"
249,"Fine sandy loam, Sandy loam, Silt loam, Very flaggy very fine sandy loam"
250,"Fine sandy loam, Sandy loam, Stony fine sandy loam, Stony sandy loam"
251,"Fine sandy loam, Sandy loam, Very fine sandy loam"
252,"Fine sandy loam, Sandy loam, Very gravelly coarse sandy loam"
253,"Fine sandy loam, Sandy loam, Very gravelly loam"
254,"Fine sandy loam, Sandy loam, Very gravelly loamy sand"
255,"Fine sandy loam, Silt loam, Silty clay loam"
256,"Fine sandy loam, Silt loam, Very fine sandy loam"
257,"Fine sandy loam, Very fine sandy loam"
258,"Fine sandy loam, Very gravelly fine sandy loam"
259,"Gravel, Stratified gravel to coarse sand, Stratified gravel to cobbles, Stratified gravel to extremely gravelly coarse sand, Stratified gravel to extremely gravelly sand, Stratified gravel to gravelly coarse sand, Stratified gravel to gravelly sand, Stratified gravel to sand, Stratified gravel to very gravelly coarse sand, Stratified gravel to very gravelly sand"
260,"Gravelly clay loam, Gravelly loam, Silt loam"
261,"Gravelly coarse sand, Loamy sand, Sand"
262,"Gravelly coarse sand, Sand"
263,"Gravelly coarse sandy loam, Gravelly sandy loam, Very gravelly sand"
264,"Gravelly coarse sandy loam, Gravelly silt loam, Silt loam"
265,"Gravelly coarse sandy loam, Very gravelly coarse sandy loam, Very gravelly loamy coarse sand"
266,"Gravelly coarse sandy loam, Very gravelly sand, Very gravelly sandy loam"
267,"Gravelly fine sand, Gravelly sandy loam, Sandy loam"
268,"Gravelly fine sandy loam, Gravelly loam, Gravelly sandy loam"
269,"Gravelly fine sandy loam, Gravelly loam, Loam"
270,"Gravelly fine sandy loam, Gravelly loam, Loam, Very gravelly sandy loam"
271,"Gravelly fine sandy loam, Gravelly loam, Mucky fine sandy loam, Sandy loam"
272,"Gravelly fine sandy loam, Gravelly loam, Mucky fine sandy loam, Sandy loam, Very gravelly fine sandy loam"
273,"Gravelly fine sandy loam, Gravelly loam, Sandy loam"
274,"Gravelly fine sandy loam, Gravelly loamy sand, Gravelly sandy loam"
275,"Gravelly fine sandy loam, Gravelly loamy sand, Loamy sand"
276,"Gravelly fine sandy loam, Gravelly sandy loam"
277,"Gravelly fine sandy loam, Gravelly sandy loam, Gravelly silt loam"
278,"Gravelly fine sandy loam, Gravelly sandy loam, Loam"
279,"Gravelly fine sandy loam, Gravelly sandy loam, Silt loam"
280,"Gravelly fine sandy loam, Gravelly sandy loam, Very gravelly coarse sandy loam"
281,"Gravelly fine sandy loam, Gravelly sandy loam, Very gravelly loamy sand"
282,"Gravelly fine sandy loam, Gravelly silt loam, Loam"
283,"Gravelly fine sandy loam, Gravelly silt loam, Sandy loam"
284,"Gravelly fine sandy loam, Highly organic fine sandy loam, Loam, Sandy loam, Very fine sandy loam, Very gravelly fine sandy loam"
285,"Gravelly fine sandy loam, Loam, Sandy loam"
286,"Gravelly fine sandy loam, Loam, Sandy loam, Silt loam, Silty clay loam"
287,"Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
288,"Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam, Very gravelly fine sandy loam"
289,"Gravelly fine sandy loam, Loam, Silt loam"
290,"Gravelly fine sandy loam, Loam, Very gravelly sandy loam"
291,"Gravelly fine sandy loam, Sandy loam"
292,"Gravelly fine sandy loam, Sandy loam, Silt loam"
293,"Gravelly fine sandy loam, Sandy loam, Very gravelly loam"
294,"Gravelly fine sandy loam, Sandy loam, Very gravelly loamy sand"
295,"Gravelly fine sandy loam, Silt loam, Silty clay loam"
296,"Gravelly fine sandy loam, Very fine sandy loam, Very gravelly loamy coarse sand"
297,"Gravelly fine sandy loam, Very gravelly coarse sand, Very gravelly sandy loam"
298,"Gravelly loam, Gravelly sandy loam, Gravelly silt loam"
299,"Gravelly loam, Gravelly sandy loam, Loamy sand, Sand, Silt loam, Silty clay loam"
300,"Gravelly loam, Gravelly sandy loam, Silt loam"
301,"Gravelly loam, Gravelly silt loam, Loam"
302,"Gravelly loam, Gravelly silt loam, Loam, Silt loam"
303,"Gravelly loam, Gravelly silt loam, Loam, Silt loam, Very gravelly loam"
304,"Gravelly loam, Gravelly silt loam, Sandy loam, Silt loam"
305,"Gravelly loam, Gravelly silt loam, Silt loam"
306,"Gravelly loam, Gravelly silt loam, Silty clay loam"
307,"Gravelly loam, Gravelly silt loam, Very gravelly sandy loam"
308,"Gravelly loam, Gravelly very fine sandy loam, Silt loam"
309,"Gravelly loam, Loam, Sandy loam"
310,"Gravelly loam, Loam, Silt loam"
311,"Gravelly loam, Parachannery silt loam, Silt loam"
312,"Gravelly loam, Sandy loam, Silt loam, Silty clay loam"
313,"Gravelly loam, Sandy loam, Very gravelly fine sandy loam"
314,"Gravelly loam, Sandy loam, Very gravelly very fine sandy loam"
315,"Gravelly loam, Silt loam"
316,"Gravelly loam, Silt loam, Silty clay loam"
317,"Gravelly loam, Silt loam, Very fine sandy loam"
318,"Gravelly loam, Silt loam, Very gravelly silt loam"
319,"Gravelly loam, Very gravelly fine sandy loam, Very gravelly sandy loam"
320,"Gravelly loamy coarse sand, Gravelly loamy sand, Gravelly sand, Very gravelly loamy coarse sand, Very gravelly loamy sand, Very gravelly sand"
321,"Gravelly loamy fine sand, Gravelly loamy sand, Gravelly sand, Gravelly silt loam, Gravelly very fine sandy loam, Loamy fine sand, Loamy sand, Sand, Silt loam, Very fine sandy loam"
322,"Gravelly loamy fine sand, Sand, Very gravelly coarse sand"
323,"Gravelly loamy fine sand, Very gravelly coarse sand, Very gravelly sand"
324,"Gravelly loamy fine sand, Very gravelly loamy sand, Very gravelly sand"
325,"Gravelly loamy sand, Gravelly sand, Loamy sand"
326,"Gravelly loamy sand, Gravelly sand, Sand"
327,"Gravelly loamy sand, Gravelly sand, Very gravelly sand"
328,"Gravelly loamy sand, Gravelly sandy loam, Loamy sand, Sandy loam, Very gravelly loamy sand, Very gravelly sandy loam"
329,"Gravelly loamy sand, Gravelly sandy loam, Sandy loam"
330,"Gravelly loamy sand, Loamy coarse sand, Loamy fine sand, Loamy sand"
331,"Gravelly loamy sand, Loamy fine sand, Loamy sand, Stratified loamy sand to loamy fine sand"
332,"Gravelly loamy sand, Very gravelly coarse sand, Very gravelly sand"
333,"Gravelly loamy sand, Very gravelly sand"
334,"Gravelly moderately decomposed plant material, Moderately decomposed plant material"
335,"Gravelly sand, Loamy fine sand, Loamy sand, Very gravelly coarse sand"
336,"Gravelly sand, Loamy sand, Sand"
337,"Gravelly sand, Sand"
338,"Gravelly sandy loam, Gravelly silt loam, Loam"
339,"Gravelly sandy loam, Loam, Sandy loam"
340,"Gravelly sandy loam, Loam, Sandy loam, Silt loam"
341,"Gravelly sandy loam, Loam, Silt loam"
342,"Gravelly sandy loam, Loam, Silt loam, Silty clay loam"
343,"Gravelly sandy loam, Loamy sand, Sandy loam"
344,"Gravelly sandy loam, Sandy loam"
345,"Gravelly sandy loam, Sandy loam, Silt loam"
346,"Gravelly sandy loam, Silt loam"
347,"Gravelly sandy loam, Silt loam, Very gravelly coarse sandy loam"
348,"Gravelly sandy loam, Very channery coarse sand, Very channery silt loam"
349,"Gravelly sandy loam, Very gravelly sand, Very gravelly sandy loam"
350,"Gravelly silt loam, Gravelly very fine sandy loam, Silt loam"
351,"Gravelly silt loam, Loam"
352,"Gravelly silt loam, Loam, Loamy sand, Sand, Silty clay loam, Very gravelly sandy loam"
353,"Gravelly silt loam, Loam, Sandy loam, Silt loam, Silty clay loam"
354,"Gravelly silt loam, Loam, Silt loam"
355,"Gravelly silt loam, Loam, Silt loam, Very gravelly sandy loam"
356,"Gravelly silt loam, Loam, Very fine sandy loam"
357,"Gravelly silt loam, Silt loam"
358,"Gravelly silt loam, Silt loam, Very channery coarse sand"
359,"Gravelly silt loam, Very fine sandy loam"
360,"Gravelly silt loam, Very gravelly loam, Very gravelly sandy loam"
361,"Gravelly slightly decomposed plant material, Slightly decomposed plant material"
362,"Gravelly very fine sandy loam, Loam, Silt loam"
363,Highly decomposed plant material
364,"Highly decomposed plant material, Moderately decomposed plant material"
365,"Highly decomposed plant material, Moderately decomposed plant material, Slightly decomposed plant material"
366,"Loam, Sandy loam, Silt loam"
367,"Loam, Sandy loam, Silt loam, Silty clay loam"
368,"Loam, Sandy loam, Very fine sandy loam"
369,"Loam, Silt loam"
370,"Loam, Silt loam, Silty clay loam"
371,"Loam, Silt loam, Stratified silt loam to loamy fine sand, Stratified very fine sandy loam to fine sand, Stratified very fine sandy loam to sandy clay loam, Very fine sandy loam"
372,"Loam, Silt loam, Very fine sandy loam"
373,"Loam, Silt loam, Very fine sandy loam, Very gravelly sandy loam"
374,"Loam, Very gravelly sandy loam, Very gravelly silt loam"
